id,created_at,event_type,thread_id,user_id,message_id,metadata
1,2026-01-02 11:01:24.036612+00,query,1456603252371230844,1334439066321817683,1456603270834426050,{}
2,2026-01-02 11:01:33.010278+00,need_help,1456603252371230844,1334439066321817683,1456603286747480127,{}
3,2026-01-02 11:02:00.978152+00,continue_here,1456603252371230844,1334439066321817683,1456603320037670975,{}
4,2026-01-02 11:16:19.404922+00,query,1456607018981785724,1334439066321817683,1456607029711077388,{}
5,2026-01-02 11:16:38.561106+00,got_it,1456607018981785724,1334439066321817683,1456607041572311166,{}
6,2026-01-02 11:51:03.10821+00,query,1456615739258568846,1382236201746169987,1456615769512087583,{}
7,2026-01-02 11:57:28.940194+00,query,1456617376219926549,418312627673104384,1456617388219826300,{}
8,2026-01-02 11:58:28.619172+00,query,1456617376219926549,418312627673104384,1456617639991578757,{}
9,2026-01-02 11:58:46.448513+00,query,1456617376219926549,418312627673104384,1456617715912675523,{}
10,2026-01-02 12:00:43.795329+00,need_help,1456617376219926549,418312627673104384,1456617724892680336,{}
11,2026-01-02 12:00:48.212069+00,tag_crew,1456617376219926549,418312627673104384,1456618211490660414,{}
12,2026-01-02 12:04:54.368329+00,query,1456607018981785724,1334439066321817683,1456619258162319360,{}
13,2026-01-02 12:05:00.32803+00,got_it,1456607018981785724,1334439066321817683,1456619268211736733,{}
14,2026-01-02 12:30:05.352248+00,query,1456607018981785724,1334439066321817683,1456625594111492160,{}
15,2026-01-02 12:30:19.371524+00,query,1456607018981785724,1334439066321817683,1456625655671165102,{}
16,2026-01-02 12:30:25.194969+00,need_help,1456607018981785724,1334439066321817683,1456625664282329345,{}
17,2026-01-02 12:30:28.105937+00,continue_here,1456607018981785724,1334439066321817683,1456625682934136904,{}
18,2026-01-02 12:30:37.274833+00,query,1456607018981785724,1334439066321817683,1456625730841608437,{}
19,2026-01-02 12:30:41.129842+00,got_it,1456607018981785724,1334439066321817683,1456625739536535573,{}
20,2026-01-02 12:31:21.333831+00,query,1456607018981785724,1334439066321817683,1456625915605028865,{}
21,2026-01-02 12:31:26.084668+00,got_it,1456607018981785724,1334439066321817683,1456625924828299406,{}
22,2026-01-02 12:48:35.177472+00,query,1456630237336043540,1352199617877381150,1456630249696657613,{}
23,2026-01-02 12:48:41.221321+00,need_help,1456630237336043540,1352199617877381150,1456630260635402302,{}
24,2026-01-02 12:48:45.248014+00,continue_here,1456630237336043540,1352199617877381150,1456630280054898759,{}
25,2026-01-02 18:30:10.329462+00,query,1456632373792866565,927220141987627048,1456716210522820850,{}
26,2026-01-02 18:30:53.098209+00,query,1456632373792866565,927220141987627048,1456716391884259328,{}
27,2026-01-02 18:34:10.784674+00,query,1456632373792866565,1434066636553457785,1456717218120204532,{}
28,2026-01-02 18:36:24.421427+00,query,1456632373792866565,1434066636553457785,1456717780391952528,{}
29,2026-01-02 18:41:10.078436+00,query,1456718956256821411,788707080953528340,1456718980961271862,{}
30,2026-01-02 18:43:03.160045+00,query,1456718956256821411,927220141987627048,1456719454007463958,{}
31,2026-01-02 18:57:36.685457+00,query,1456718956256821411,788707080953528340,1456723117539065906,{}
32,2026-01-03 07:07:32.404756+00,query,1456906799599849502,1334439066321817683,1456906809439944912,{}
33,2026-01-03 07:08:49.926692+00,query,1456907125765963918,1334439066321817683,1456907136209780736,{}
34,2026-01-03 07:09:39.15856+00,query,1456907125765963918,1334439066321817683,1456907342141722771,{}
35,2026-01-03 07:11:01.121324+00,got_it,1456907125765963918,1334439066321817683,1456907146015932522,{}
36,2026-01-03 07:11:06.437472+00,need_help,1456907125765963918,1334439066321817683,1456907352547786864,{}
37,2026-01-03 07:11:10.135021+00,continue_here,1456907125765963918,1334439066321817683,1456907712926318643,{}
38,2026-01-03 08:51:21.702363+00,query,1456932925672128533,1334439066321817683,1456932937613312141,{}
39,2026-01-03 08:51:33.562217+00,query,1456932925672128533,1334439066321817683,1456932985520525417,{}
40,2026-01-03 08:52:46.170144+00,query,1456903968532992187,1334439066321817683,1456933294443856028,{}
41,2026-01-03 08:56:25.539947+00,query,1456934202460340257,931169437191634994,1456934213122261033,{}
42,2026-01-03 08:58:58.427345+00,query,1456934202460340257,931169437191634994,1456934853005021310,{}
43,2026-01-03 08:59:33.785474+00,query,1456934202460340257,931169437191634994,1456935002276368449,{}
44,2026-01-03 09:00:21.754509+00,query,1456934202460340257,931169437191634994,1456935204382969969,{}
45,2026-01-03 09:15:59.360349+00,need_help,1456934202460340257,931169437191634994,1456935213799309436,{}
46,2026-01-03 09:16:06.636335+00,tag_crew,1456934202460340257,931169437191634994,1456939141160767569,{}
47,2026-01-03 10:36:39.192368+00,query,1456615739258568846,1436036939278188617,1456959435061727353,{}
48,2026-01-03 12:26:45.341275+00,query,1456615739258568846,1334439066321817683,1456987142940131471,{}
49,2026-01-03 13:09:42.463812+00,query,1456997057796767898,1419002810598428692,1456997951896424502,{}
50,2026-01-03 13:09:54.367162+00,need_help,1456997057796767898,1419002810598428692,1456997963888066650,{}
51,2026-01-03 13:10:00.045471+00,continue_here,1456997057796767898,1419002810598428692,1456998007701508148,{}
52,2026-01-03 13:10:24.197021+00,query,1456997057796767898,1419002810598428692,1456998128178958518,{}
53,2026-01-03 13:21:35.742947+00,query,1457000917487325236,1431286724356735100,1457000943622160434,{}
54,2026-01-03 13:32:29.850011+00,query,1457000917487325236,1431286724356735100,1457003687196229746,{}
55,2026-01-03 13:54:45.718531+00,query,1457009276655767703,1268919693771669525,1457009289871884515,{}
